station_seqnum,metro_id,Nazwa_stacji,longitude,latitude,who_entered,country_seqnum,source_seqnum,use_index,station_id
1420270,91813,BANIE MAZURSKIE,22.03333333,54.25,7,221,118,1,254220060
1420271,91816,DUBENINKI,22.58333333,54.28333333,7,221,118,1,254220040
1420272,91819,ŻABIN,22.05,54.33333333,7,221,118,1,254220020
1420273,91820,ŻYTKIEJMY,22.7,54.35,7,221,118,1,254220010
1420274,91850,SIDORY,22.91666667,54.26666667,7,221,118,1,254220050
1420275,91851,PRZEŁOMKA,22.78333333,54.26666667,7,221,118,1,254229999
1420276,91902,STARY FOLWARK,23.06666667,54.06666667,7,221,118,1,254230030
1420277,91903,POMORZE,23.36666667,54.06666667,7,221,118,1,254239998
1420278,91904,SEJNY,23.35,54.1,7,221,118,1,254230020
1420279,91907,SMOLANY,23.2,54.18333333,7,221,118,1,254239999
1420280,91908,ALEKSANDRÓWKA,23.11666667,54.26666667,7,221,118,1,254230010
1420281,92003,MIELĘCIN,14.9,53.06666667,7,221,118,1,253140150
1420282,92006,WIDUCHOWA,14.4,53.11666667,7,221,118,1,253140140
1420283,92010,LINIE,14.75,53.18333333,7,221,118,1,253140130
1420284,92011,TURZE,14.88333333,53.2,7,221,118,1,253140120
1420285,92014,GRYFINO,14.48333333,53.25,7,221,118,1,253140110
1420286,92015,BINOWO,14.65,53.3,7,221,118,1,253140080
1420287,92016,ŻELEWO,14.86666667,53.3,7,221,118,1,253140090
1420288,92021,GOLENIÓW,14.81666667,53.56666667,7,221,118,1,253140070
1420289,92022,STEPNICA,14.63333333,53.65,7,221,118,1,253140050
1420290,92024,PODGRODZIE,14.33222222,53.73277778,7,221,118,1,253140030
1420291,92026,KARTLEWO,14.8,53.8,7,221,118,1,253140020
1420292,92028,WOLIN,14.6,53.83333333,7,221,118,1,253140010
1420293,92032,WARNOWO,14.56666667,53.95,7,221,118,1,253149997
1420294,92051,TRZEBIEŻ,14.53333333,53.66666667,7,221,118,1,253140040
1420295,92052,SZCZECIN-PODJUCHY,14.59305556,53.36944444,7,221,118,1,253140170
1420296,92053,SIERAKOWO,14.50333333,53.50444444,7,221,118,1,253140180
1420297,92054,SZCZECIN-POGODNO,14.53694444,53.45722222,7,221,118,1,253140210
1420298,92055,DĄBROWICA,14.97388889,53.46388889,7,221,118,1,253140240
1420299,92104,KAMIENNA,15.93333333,53.03333333,7,221,118,1,253150230
1420300,92106,KRZĘCIN,15.5,53.08333333,7,221,118,1,253150220
1420301,92107,PŁOTNO,15.3,53.08333333,7,221,118,1,253150210
1420302,92108,CHOSZCZNO,15.41666667,53.16666667,7,221,118,1,253150180
1420303,92113,SUCHAŃ,15.31666667,53.28333333,7,221,118,1,253150160
1420304,92114,STARGARD SZCZECIŃSKI,15.05,53.33333333,7,221,118,1,253159995
1420305,92115,SULIBOREK,15.55,53.3,7,221,118,1,253159994
1420306,92116,POŹRZADŁO WIELKIE,15.91666667,53.38333333,7,221,118,1,253150150
1420307,92119,LISOWO,15.3,53.43333333,7,221,118,1,253150130
1420308,92120,IŃSKO,15.55,53.43333333,7,221,118,1,253150140
1420309,92121,MASZEWO,15.06666667,53.5,7,221,118,1,253159996
1420310,92123,WIEWIECKO,15.65,53.53333333,7,221,118,1,253150090
1420311,92124,DRAWSKO POMORSKIE,15.81666667,53.53333333,7,221,118,1,253150110
1420312,92126,DOBRA,15.3,53.58333333,7,221,118,1,253159997
1420313,92128,OSTROWICE,15.96666667,53.63333333,7,221,118,1,253159998
1420314,92129,ŁABĘDZIE,15.81666667,53.65,7,221,118,1,253150070
1420315,92130,NOWOGARD,15.11666667,53.66666667,7,221,118,1,253150060
1420316,92132,PORADZ,15.6,53.7,7,221,118,1,253150050
1420317,92136,PŁOTY,15.26666667,53.8,7,221,118,1,253150040
1420318,92140,SŁAWOBORZE,15.70194444,53.90361111,7,221,118,1,253150030
1420319,92142,WITNO,15.06666667,53.95,7,221,118,1,253150020
1420320,92143,STARNIN,15.46666667,53.96666667,7,221,118,1,253150010
1420321,92152,DRAWNO,15.76666667,53.21666667,7,221,118,1,253150170
1420322,92154,DARŻ,15.00055556,53.03583333,7,221,118,1,253150120
1420323,92155,BRZEŹNIAK,15.66666667,53.53333333,7,221,118,1,253150240
1420324,92157,SADŁOWO,15.27361111,53.27888889,7,221,118,1,253150380
1420325,92201,TRZCIANKA,16.46666667,53.03333333,7,221,118,1,253160180
1420326,92203,CZŁOPA,16.11666667,53.08333333,7,221,118,1,253160170
